Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Africa,,2021-05-04,1.06,
Africa,,2021-05-05,1.07,
Africa,,2021-05-06,1.08,
Africa,,2021-05-07,1.12,
Africa,,2021-05-08,1.13,
Africa,,2021-05-09,1.17,
Africa,,2021-05-10,1.2,
Africa,,2021-05-11,1.23,
Africa,,2021-05-12,1.3,
Africa,,2021-05-13,1.31,
Africa,,2021-05-14,1.32,
Africa,,2021-05-15,1.34,
Africa,,2021-05-16,1.35,
Africa,,2021-05-17,1.37,
Africa,,2021-05-18,1.42,
Africa,,2021-05-19,1.45,
Africa,,2021-05-20,1.48,
Africa,,2021-05-21,1.52,
Africa,,2021-05-22,1.57,
Africa,,2021-05-23,1.59,
Africa,,2021-05-24,1.62,
Africa,,2021-05-25,1.66,
Africa,,2021-05-26,1.67,
Africa,,2021-05-27,1.69,
Africa,,2021-05-28,1.7,
Africa,,2021-05-29,1.74,
Africa,,2021-05-30,1.75,
Africa,,2021-05-31,1.81,
Africa,,2021-06-01,1.86,
Africa,,2021-06-02,1.88,
Africa,,2021-06-03,1.9,
Africa,,2021-06-04,1.91,
Africa,,2021-06-05,1.92,
Africa,,2021-06-06,1.92,
Africa,,2021-06-07,1.94,
Africa,,2021-06-08,1.98,
Africa,,2021-06-09,2.03,
Africa,,2021-06-10,2.04,
Africa,,2021-06-11,2.06,
Africa,,2021-06-12,2.07,
Africa,,2021-06-13,2.07,
Africa,,2021-06-14,2.1,
Africa,,2021-06-15,2.12,
Africa,,2021-06-16,2.13,
Africa,,2021-06-17,2.14,
Africa,,2021-06-18,2.15,
Africa,,2021-06-19,2.15,
Africa,,2021-06-20,2.19,
Africa,,2021-06-21,2.22,
Africa,,2021-06-22,2.22,
Africa,,2021-06-23,2.25,
Africa,,2021-06-24,2.31,
Africa,,2021-06-25,2.32,
Africa,,2021-06-26,2.33,
Africa,,2021-06-27,2.34,
Africa,,2021-06-28,2.37,
Africa,,2021-06-29,2.39,
Africa,,2021-06-30,2.41,
Africa,,2021-07-01,2.42,
Africa,,2021-07-02,2.43,
Africa,,2021-07-03,2.44,
Africa,,2021-07-04,2.46,
Africa,,2021-07-05,2.5,
Africa,,2021-07-06,2.52,
Africa,,2021-07-07,2.53,
Africa,,2021-07-08,2.55,
Africa,,2021-07-09,2.56,
Africa,,2021-07-10,2.57,
Africa,,2021-07-11,2.57,
Africa,,2021-07-12,2.63,
Africa,,2021-07-13,2.65,
Africa,,2021-07-14,2.66,
Africa,,2021-07-15,2.73,
Africa,,2021-07-16,2.73,
Africa,,2021-07-17,2.74,
Africa,,2021-07-18,2.75,
Africa,,2021-07-19,2.81,
Africa,,2021-07-20,2.83,
Africa,,2021-07-21,2.83,
Africa,,2021-07-22,2.89,
Africa,,2021-07-23,2.91,
Africa,,2021-07-24,2.92,
Africa,,2021-07-25,2.94,
Africa,,2021-07-26,2.98,
Africa,,2021-07-27,3.04,
Africa,,2021-07-28,3.08,
Africa,,2021-07-29,3.14,
Africa,,2021-07-30,3.16,
Africa,,2021-07-31,3.17,
Africa,,2021-08-01,3.18,
Africa,,2021-08-02,3.23,
Africa,,2021-08-03,3.34,
Africa,,2021-08-04,3.36,
Africa,,2021-08-05,3.41,
Africa,,2021-08-06,3.42,
Africa,,2021-08-07,3.44,
Africa,,2021-08-08,3.48,
Africa,,2021-08-09,3.58,
Africa,,2021-08-10,3.61,
Africa,,2021-08-11,3.64,
Africa,,2021-08-12,3.71,
Africa,,2021-08-13,3.77,
Africa,,2021-08-14,3.79,
Africa,,2021-08-15,3.8,
Africa,,2021-08-16,3.93,
Africa,,2021-08-17,3.96,
Africa,,2021-08-18,4.01,
Africa,,2021-08-19,4.07,
Africa,,2021-08-20,4.38,
Africa,,2021-08-21,4.39,
Africa,,2021-08-22,4.41,
Africa,,2021-08-23,4.46,
Africa,,2021-08-24,4.5,
Africa,,2021-08-25,4.66,
Africa,,2021-08-26,4.67,
Africa,,2021-08-27,4.8,
Africa,,2021-08-28,4.83,
Africa,,2021-08-29,4.9,
Africa,,2021-08-30,4.93,
Africa,,2021-08-31,4.99,
Africa,,2021-09-01,5.09,
Africa,,2021-09-02,5.11,
Africa,,2021-09-03,5.14,
Africa,,2021-09-04,5.26,
Africa,,2021-09-05,5.38,
Africa,,2021-09-06,5.44,
Africa,,2021-09-07,5.46,
Africa,,2021-09-08,5.48,
Africa,,2021-09-09,5.53,
Africa,,2021-09-10,5.59,
Africa,,2021-09-11,5.63,
Africa,,2021-09-12,5.73,
Africa,,2021-09-13,5.75,
Africa,,2021-09-14,5.83,
Africa,,2021-09-15,5.92,
Africa,,2021-09-16,5.97,
Africa,,2021-09-17,5.99,
Africa,,2021-09-18,5.99,
Africa,,2021-09-19,6.11,
Africa,,2021-09-20,6.14,
Africa,,2021-09-21,6.18,
Africa,,2021-09-22,6.32,
Africa,,2021-09-23,6.45,
Africa,,2021-09-24,6.47,
Africa,,2021-09-25,6.53,
Africa,,2021-09-26,6.57,
Africa,,2021-09-27,6.67,
Africa,,2021-09-28,6.71,
Africa,,2021-09-29,6.72,
Africa,,2021-09-30,6.82,
Africa,,2021-10-01,6.84,
Africa,,2021-10-02,6.88,
Africa,,2021-10-03,6.9,
Africa,,2021-10-04,6.9,
Africa,,2021-10-05,6.93,
Africa,,2021-10-06,7,
Africa,,2021-10-07,7.11,
Africa,,2021-10-08,7.36,
Africa,,2021-10-09,7.39,
Africa,,2021-10-10,7.41,
Africa,,2021-10-11,7.42,
Africa,,2021-10-12,7.44,
Africa,,2021-10-13,7.52,
Africa,,2021-10-14,7.63,
Africa,,2021-10-15,7.68,
Africa,,2021-10-16,7.68,
Africa,,2021-10-17,7.85,
Africa,,2021-10-18,7.92,
Africa,,2021-10-19,7.96,
Africa,,2021-10-20,8.04,
Africa,,2021-10-21,8.17,
Africa,,2021-10-22,8.19,
Africa,,2021-10-23,8.34,
Africa,,2021-10-24,8.4,
Africa,,2021-10-25,8.41,
Africa,,2021-10-26,8.48,
Africa,,2021-10-27,8.49,
Africa,,2021-10-28,8.62,
Africa,,2021-10-29,8.74,
Africa,,2021-10-30,8.78,
Africa,,2021-10-31,8.88,
Africa,,2021-11-01,8.93,
Africa,,2021-11-02,8.98,
Africa,,2021-11-03,9.01,
Africa,,2021-11-04,9.15,
Africa,,2021-11-05,9.16,
Africa,,2021-11-06,9.24,
Africa,,2021-11-07,9.28,
Africa,,2021-11-08,9.3,
Africa,,2021-11-09,9.32,
Africa,,2021-11-10,9.58,
Africa,,2021-11-11,9.69,
Africa,,2021-11-12,9.7,
Africa,,2021-11-13,9.77,
Africa,,2021-11-14,9.81,
Africa,,2021-11-15,9.85,
Africa,,2021-11-16,9.86,
Africa,,2021-11-17,9.89,
Africa,,2021-11-18,10.04,
Africa,,2021-11-19,10.05,
Africa,,2021-11-20,10.21,
Africa,,2021-11-21,10.28,
Africa,,2021-11-22,10.34,
Africa,,2021-11-23,10.4,
Africa,,2021-11-24,10.54,
Africa,,2021-11-25,10.61,
Africa,,2021-11-26,10.68,
Africa,,2021-11-27,10.72,
Africa,,2021-11-28,10.88,
Africa,,2021-11-29,10.97,
Africa,,2021-11-30,11.05,
Africa,,2021-12-01,11.08,
Africa,,2021-12-02,11.17,
Africa,,2021-12-03,11.25,
Africa,,2021-12-04,11.38,
Africa,,2021-12-05,11.43,
Africa,,2021-12-06,11.63,
Africa,,2021-12-07,11.66,
Africa,,2021-12-08,11.81,
Africa,,2021-12-09,12.11,
Africa,,2021-12-10,12.14,
Africa,,2021-12-11,12.27,
Africa,,2021-12-12,12.35,
Africa,,2021-12-13,12.39,
Africa,,2021-12-14,12.5,
Africa,,2021-12-15,12.57,
Africa,,2021-12-16,12.6,
Africa,,2021-12-17,12.61,
Africa,,2021-12-18,12.69,
Africa,,2021-12-19,12.71,
Africa,,2021-12-20,13,
Africa,,2021-12-21,13.03,
Africa,,2021-12-22,13.1,
Africa,,2021-12-23,13.37,
Africa,,2021-12-24,13.46,
Africa,,2021-12-25,13.46,
Africa,,2021-12-26,13.52,
Africa,,2021-12-27,13.58,
Africa,,2021-12-28,13.84,
Africa,,2021-12-29,13.85,
Africa,,2021-12-30,13.9,
Africa,,2021-12-31,14.1,
Africa,,2022-01-01,14.12,
Africa,,2022-01-02,14.15,
