"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death"
"HND",149.5,38.17,122.5,73.5,529,529,37,344,595,489,0,83.7772999999996,87.5,181,0,19.4,0.64,0.7287,42.05,9904608,88.520940209134,99.9835217097179,2389.012430771,187.55433655,58.18896484,4.97320085491529,64.4386193212916,30.5881798237931,-0.0934566804908297,1.32030276767898,"Americas","Latin America and the Caribbean",22451
"HRV",95.5,46.84,145,95,448,476,37,38,522,49,376,46.7945691056909,40,445,388,27.1,5.54,6.192,78.32093274,4047680,71.5264180950698,99.7796052732656,14132.4865609499,1040.08569336,18.44828796,21.2522352382927,64.2062014480422,14.5415633136651,0.0882334847523387,0.164714458690878,"Europe","Southern Europe",15126
"HTI",155.5,0.83,75.5,75,527,560,29.5,32,264,500,265,51.1277326565146,133,265,0,20.5,0.71,0.3977,34.5,11402533,413.734869375907,100,1272.36799204205,56.99440002,48.51952744,5.17466828408577,62.35143645339,32.4738952625242,0.0750374652246106,-0.145900643969198,"Americas","Latin America and the Caribbean",9374
"HUN",26,61.81,90,152,71,553,126,30,474,288,320,54.560789473684,75,125,336,28.6,7.01,5.2593,84.77115202,9750149,106.839239535393,100,15980.1082258832,1062.39416504,32.01777649,20.1631079450426,65.4282334047697,14.4086586501878,-0.667645072870458,-0.641457160107599,"Europe","Eastern Europe",32236
"IDN",160,43.3,47.5,16.5,574,575,95.5,87,596,484,231,66.09960591133,56,246,0,6.9,1.04,3.807,53.72649449,273523621,145.683543548694,95.5671472610627,3869.58842704537,120.12496185,50.50718689,6.26251338481323,67.8014803219093,25.9360062932775,0.971002175300675,1.13139881785385,"Asia","South-eastern Asia",1024785
"IND",39,52.64,37,28.5,571,578,44,270,595,589,337,71.1938533541343,18,151,171,3.8,0.53,2.3885,43,1380004385,464.149410229417,100,1927.70782309335,63.74832153,66.37770081,6.57388867644794,67.2654998846254,26.1606114389267,2.33689900277107,2.06377339157243,"Asia","Southern Asia",4599800
"IRL",54,77.44,147,147,304,473,64,274,599,244,486,64.6758428805236,63.5,0,506,26.9,2.97,13.0118,91.99989097,4985674,72.3715198141965,0.274091678859734,85422.5428682266,5428.58886719,25.42202377,14.5779505227647,64.5897776857887,20.8322717914466,-0.706063335751311,0.767330605629181,"Europe","Northern Europe",2861
"IRN",67,61.39,141,130,347,484,49.5,391,573,310,142,65.4372946859905,167,41,168,25.5,1.56,2.0766,84.11087002,83992953,51.5686491564135,100,2422.48065682777,470.43460083,50.48118973,6.56435458647845,68.6909492843262,24.7446961291953,-1.23252199003456,0.653854706966765,"Asia","Southern Asia",233179
"IRQ",43,14.32,75.5,44,560,560,16,74,594,451,0,73.5141396103895,60.5,251,111,27.4,1.32,2.0448,60,40222503,92.6512526259536,100,4145.86293637602,253.31463623,50.09696579,3.44273041454691,58.8435231998176,37.7137463856355,1.65426637924278,0.770139370669261,"Asia","Western Asia",65502
"ISL",111.5,76.72,151,153,49,448,156.5,0,499,0,596,41.6329575163401,100,598,522,23.1,2.83,17.1888,99,366463,3.63446394922146,10.2852157949761,59264.0340913145,6274.95947266,17.11121368,15.6220054330785,64.9537133362443,19.4242812306773,-2.24424237496442,-0.426094592615429,"Europe","Northern Europe",-34
"ISR",3,67.39,32,8.5,382,579,85,103,586,258,477,61.049177419355,11.5,218,524,26.7,2.98,6.6047,90.12734091,9215100,425.836414048059,100,44177.5712248445,3456.38696289,33.1367569,12.4143452715517,59.7571842757265,27.8284704527219,2.44527245691051,1.15689809988963,"Asia","Western Asia",6309
"ITA",109,77.33,43.5,12.5,512,576,2,247,618,598,640,71.3570781250005,33.5,298,457,22.9,3.14,5.8867,70.48342785,59449527,199.675971517818,94.7772139982593,31769.9658684833,2905.5,26.08068275,23.3018929993944,63.710816474514,12.9872905260916,2.35289103792176,2.80427246211738,"Europe","Southern Europe",158160
"JAM",128,19.9,39.5,44,560,577,137,50,521,586,433,73.4194166666665,52,268,0,24.4,1.72,1.4674,68.21451709,2961161,273.422068328717,99.9999999999574,4664.53024222133,327.40353394,33.15736008,9.07777237825492,67.5640718676117,23.3581557541334,0.579331696536359,1.20016676353522,"Americas","Latin America and the Caribbean",3444
"JOR",10,38.47,159,134,201,443,22.5,34,473,437,18,62.7452631578947,91.5,196,332,33.4,1.47,3.347,66.1,10203140,114.926109484118,100,4282.76582461621,334.04421997,45.69065094,3.95369697193039,63.192456357037,32.8538466710326,-0.330518571252285,-0.86805642830389,"Asia","Western Asia",10987
"JPN",147,79.02,9.5,141.5,7,610,156.5,0,495,0,126,41.3618181818183,6,0,9,4.4,12.98,12.6978,90.21945812,125836021,345.229138545953,76.7615082281987,40193.2524448357,4360.47363281,16.1432457,28.3972730704411,59.1541701977256,12.4485567318333,0.0025411959771896,-1.76438152187561,"Asia","Eastern Asia",-15522
"KAZ",106.5,43.65,4,76.5,525,647,78.5,51,581,281,185,71.7676923076921,33.5,151,285,21.3,6.06,7.2936,85.94259898,18754440,6.94686076230692,87.4142305282549,9122.23343021644,272.96524048,40.06171799,7.9028021260597,62.9530247236643,29.144173150276,1.4284618668379,0.923610519754772,"Asia","Central Asia",73147
"KEN",165,6.71,43.5,12.5,523,576,156.5,0,596,572,404,64.8242148760329,121.5,61,0,6,1.4,1.1656,29.5,53771300,94.4781600309238,100,1878.58070251348,83.41162872,35.51103973,2.50918631382811,58.9012100433659,38.589603642806,-0.0639444627068192,0.809992280692117,"Africa","Sub-Saharan Africa",28742
"KGZ",119,14.84,125,78.5,396,524,56.5,36,572,192,73,60.1115514333896,43,219,0,15.4,4.41,5.6026,51,6579900,34.3060479666319,97.4325569187238,1175.69815236703,62.14477539,46.25527954,4.72789363285432,62.6232661654043,32.6488402017414,0.156096423630607,-0.418419195483346,"Asia","Central Asia",11778
"KHM",88,80.9,47.5,150,265,575,135,173,573,235,265,52.0539130434783,121.5,0,7,3.5,0.9,1.0076,32.90027854,16718971,94.7143156582823,100,1543.66925757282,113.31044006,69.18743134,4.85284824748422,64.2221991612519,30.9249525912639,-0.946317483451699,-0.0255657998029623,"Asia","South-eastern Asia",11985
"KIR",138,44.51,170,156,40,40,138,0,0,116,0,32.9663473053892,152.5,0,0,45.6,1.86,3.8256,38,119446,147.464197530864,99.9999995006364,1653.54029724315,172.30574036,2.91084337,4.21518807189679,59.868228281526,35.9165836465772,-2.86468847325879,-5.75710047381831,"Oceania","Micronesia",-41
"KOR",67,80.5,15.5,131,384,596,91.5,14,616,28,629,52.9364252696458,9,449,317,4.9,12.43,7.4625,96.50505968,51836239,531.54469852338,100,31597.5046490718,2624.53320313,40.47150421,15.7909063699764,71.6662845332923,12.5428090967313,1.0133813774946,0.989368123268074,"Asia","Eastern Asia",2484
"KWT",6,33.55,120,70.5,532,532,91.5,55,600,194,186,68.2190584415581,14,394,389,37,2.04,7.4145,99.10587967,4270563,239.65,100,24811.7697100231,1758.67419434,13.03886032,3.03580013070852,75.5019879074719,21.4622119618196,0.754361457459121,0.822548465541207,"Asia","Western Asia",4237
"LAO",111.5,44.07,5,6.5,559,637,78.5,53,445,148,456,46.9111243611584,125.5,0,0,4.5,1.5,0.7171,33.8,7275556,31.5232062391681,100,2629.71458287115,68.22131348,41.85754776,4.25917730044148,63.7935911462485,31.94723155331,1.36837964164701,0.130507242741857,"Asia","South-eastern Asia",1101
"LBN",67,26.08,15.5,78.5,511,596,22.5,60,573,448,0,70.4108400646202,46,133,41,31.3,2.73,1.6735,84.1,6825442,667.198631476051,100,4649.54764607837,663.05108643,50.12977219,7.54904625266191,67.3821560352475,25.0687977120906,1.89306951407442,0.467493622416411,"Asia","Western Asia",17241
"LBR",120.5,7.06,84,50.5,556,556,97.5,41,589,163,300,55.4299663299665,121.5,331,0,8.6,0.8,0.5321,25.6,5057677,52.5091050664452,100,632.93638561735,52.56287003,59.21680832,3.3184773812346,56.3093046002704,40.372218018495,-0.131949470391101,0.51385661389031,"Africa","Sub-Saharan Africa",3938
"LBY",102.5,22.21,154.5,111.5,430,430,101.5,106,528,430,0,75.4893080724875,138,0,0,31.8,3.2,6.5305,17.76,6871287,3.90516100799072,100,3699.29476514318,309.87866211,36.66828156,4.52581552348525,67.6894097936749,27.7847746828399,-1.60967570096657,-0.702733514939199,"Africa","Northern Africa",7474
"LKA",88,71,121,72,530,530,9,188,378,411,634,62.5587732919251,45,302,66,5.4,4.15,2.2604,35,21919000,354.309452993664,45.5384172591341,3680.67347661745,160.69696045,51.41779327,11.2328586848264,65.0822908751493,23.6848504400243,0.841645500361678,1.00924648546943,"Asia","Southern Asia",-9565
"LSO",143,16.11,37,121,405,578,73,59,578,333,0,57.7599999999999,154,42,0,13.5,0.0845328190522689,3.2567,43,2142252,70.5616600790514,100,875.353432963926,124.19363403,14.17715359,4.94881780782719,62.8131463709401,32.2380358212327,-0.490605935663126,-0.186784760785964,"Africa","Sub-Saharan Africa",3819
"LTU",130,67.37,154.5,111.5,160,451,9,100,530,124,491,49.871931260229,28.5,92,538,28.4,6.43,9.4452,83.05555096,2794885,44.6253392942679,95.9998593070447,20232.3020358588,1369.97949219,34.55065536,20.6179799426145,63.9040895364159,15.4779305209697,-0.000649664173112685,-0.43908951693489,"Europe","Northern Europe",16254
"LUX",33,68.33,54.5,44,158,572,9,56,599,262,610,48.1695129870128,78,500,586,24.2,4.26,12.1744,98.82242384,630419,259.431687242798,68.7756227449078,116356.158037286,6220.74121094,12.79860306,14.3907613366604,70.0516631574912,15.5575755058485,1.85500632023391,1.21141240518169,"Europe","Western Europe",47
"LVA",118,62.22,117,135,200,538,121,62,596,11,129,50.1232899022798,28.5,127,438,25.7,5.49,4.6174,88.9,1900449,30.6079722982767,89.0140461977576,17736.5037505893,1166.79785156,39.17286682,20.6873827668145,62.8805141347833,16.4321030984022,-0.813083377720013,-0.549463984694812,"Europe","Northern Europe",7217
"MAR",81.5,64.8,50.5,20,573,573,37,83,591,549,41,68.2823538704578,82,284,15,25.6,1,1.3887,84.12036305,36910558,82.7034685189334,100,3058.69168866957,174.22377014,59.4057312,7.60664427741004,65.6253630397371,26.7679926828528,1.61692166987733,1.04622993718546,"Africa","Northern Africa",34474
"MCO",22,67.49,65.5,36.5,429,564,5,64,612,263,289,56.1877250409165,63.5,424,0,92.5758318308915,13.8,20.1609,97.05297684,39244,19360.6314750863,242.943900417983,173688.189360292,2905.84375,15.03576469,56.6749230958794,247.162389533074,68.2410608028897,2.02036676128043,0.735572780017902,"Europe","Western Europe",46
"MDA",128,21.98,119,144,292,535,125,56,600,178,249,59.3312603648423,108.5,150,211,20.1,5.66,3.9329,76.12451989,2620495,91.2355556483986,100,4547.05972064671,284.30712891,36.91240311,12.4930248492611,71.6186539142774,15.8883212364615,-1.66059582807364,-0.145114701790863,"Europe","Eastern Europe",16400
"MDG",139,1.34,75.5,44,560,560,89.5,55,421,324,15,55.6762944162438,141.5,180,0,4.5,0.2,0.298,15,27691019,47.5954262633207,100,471.491496300252,19.84997559,39.58620071,3.10069496181036,56.8367656255902,40.0625394125994,-0.150504441601276,-0.236890489786067,"Africa","Sub-Saharan Africa",24088
"MEX",122,57.28,69,39,563,563,60,285,585,372,224,54.8032537313428,158.5,0,0,28.4,0.98,2.3646,71.96819405,128932753,66.3251385066488,99.6561265475774,8329.27131263927,540.37231445,50.69227982,7.61810383432982,66.5466307075596,25.8352654581106,0.190394519627309,1.10859912502727,"Americas","Latin America and the Caribbean",629876
"MLI",81.5,1.55,115,66,541,541,120,52,564,0,552,47.6355802047782,166,187,0,7.1,0.1,0.4408,27.4,20250834,16.5964595677722,100,862.453018770252,34.28177643,32.89606094,2.47715242133496,50.5155466938076,47.0073008848574,-1.00726174019454,0.182995504187579,"Africa","Sub-Saharan Africa",26252
"MLT",19,83.37,106.5,117.5,440,546,127,46,462,69,646,53.9957920792079,18,586,462,31,4.49,9.4833,86.85876416,515332,1610.4125,100,28423.200204148,2531.91088867,36.8813324,21.3238574725451,64.3022310397855,14.3739114876694,-0.00653162901939675,0.946093922948897,"Europe","Southern Europe",468
"MMR",158,24.17,118,68,537,537,95.5,246,585,566,170,75.7470034246574,136.5,235,0,5.7,1.04,1.0821,35.1,54409794,83.3496131987316,100,1467.60428115143,60.01587296,75.95656586,6.23608798414991,68.2783175089782,25.4855945068719,-0.967926363957945,1.42810405168834,"Asia","South-eastern Asia",43155
"MNG",117,67.75,2,140,354,661,106,91,644,157,447,63.5388851913478,26,202,339,19.6,8,4.2136,62.50002848,3278292,2.10517352649373,97.0139805896742,4060.95051770038,163.44186401,38.24585342,4.31230916117854,64.5947429910106,31.0929478478109,0.552067857561544,1.20310296259175,"Asia","Eastern Asia",-360
"MOZ",50,11.4,109,62,545,545,156.5,0,522,290,449,59.354431239389,136.5,21,0,6,0.7,0.4727,16.5,31255435,39.745968870012,100,448.544280704982,39.46094131,16.00112534,2.86182547131403,53.0753867287401,44.0627877999458,-0.846629560509087,0.00993472666015396,"Africa","Sub-Saharan Africa",40299
"MRT",70.5,19.65,110.5,92,504,544,156.5,0,493,295,347,45.0474371859297,168,230,0,11.3,0.162981427796458,0.9252,40.8,4649660,4.51116716794412,100,1701.99116304908,57.88484573,50.64942932,3.17786813567794,57.1370410468899,39.6850908174322,-1.52628738834493,0.0405430786653544,"Africa","Sub-Saharan Africa",6690
"MUS",32,70.8,84,50.5,465,556,37,108,323,114,543,46.5974873524452,128.5,431,0,11.5,3.4,3.5152,64.88490358,1265740,623.51724137931,100,8627.84315711981,685.94561768,52.66551971,12.520129457574,70.6951267841304,16.7847437582955,0.80368462744787,0.0906450328557275,"Africa","Sub-Saharan Africa",503
"MWI",52,4.96,43.5,111.5,342,576,156.5,0,576,50,478,49.3582130584192,160.5,187,0,4.7,1.3,0.4386,9.9,19129955,202.905759439966,100,636.820536833847,30.40028763,23.84466934,2.64154348113367,54.3663988283922,42.9920576904741,-0.846140026825116,-0.205207825868269,"Africa","Sub-Saharan Africa",16335
"MYS",104.5,78.48,9.5,126,406,610,22.5,272,593,376,438,65.0563369397219,7,572,327,15.3,1.88,3.4843,89.55501192,32365998,98.5116359762593,90.537343806725,10412.3489834381,436.61203003,47.80334854,7.18368371697719,69.3681971627077,23.4481191203151,1.60274041406359,2.43532570975426,"Asia","South-eastern Asia",4949
"NAM",58,12.41,23,86.5,487,587,156.5,0,542,323,590,51.5604522613062,116.5,167,38,15,0.376075136156729,1.954,41,2540916,3.08629523011333,100,4179.27806560875,427.25622559,48.44717789,3.58584834930861,59.5729080780273,36.8412435726641,-0.0390723942238292,0.626083479446682,"Africa","Sub-Saharan Africa",7518
"NER",114,1.99,81.5,48.5,476,546,156.5,0,169,0,18,28.1919966159053,133,342,0,4.7,0.39,0.2234,10.22431156,24206636,19.1099992105471,100,567.669892261611,31.39763641,49.06088257,2.59609303958037,47.7319491293382,49.6719578310814,-0.692198787289722,-1.71931824748855,"Africa","Sub-Saharan Africa",33126
"NGA",104.5,2.69,69,52,514,563,73,36,593,548,438,57.0912091503272,39,69,0,7.8,0.733161048056656,1.5007,35.5,206139587,226.335504024068,100,2097.09247289022,71.46572876,71.30365753,2.73806406007727,53.7743252219252,43.4876107179975,0.988643783718383,0.856860848376784,"Africa","Sub-Saharan Africa",177770
"NIC",144,14.09,169,169.5,0,237,156.5,0,0,0,0,10.9945777027027,57.5,97,0,21.8,0.93,1.5524,45.2,6624554,55.0486455044042,99.9026951322358,1905.26115155921,160.75878906,36.35137177,5.67749919466276,64.8218431006827,29.5006577046545,-2.42453532017807,-4.9964411281633,"Americas","Latin America and the Caribbean",11944
"NLD",31,72.06,129,161,0,518,117,96,599,144,290,59.15779771615,24,79,419,23.1,3.17,11.4851,91.33333333,17441500,518.013068013068,99.5981414813269,52396.0322099525,5335.30126953,34.07394028,20.0348213864685,64.2635206145689,15.7016579989626,-0.713224683860031,-0.602548809680471,"Europe","Western Europe",25724
"NOR",54,77.18,158,169.5,0,407,123,95,564,0,517,50.918243902439,67.5,72,454,25,3.53,18.3493,97,5379475,14.7339340964594,2.04383779996992,67329.6777910967,8007.39794922,14.17993736,17.5265774017425,65.2163222406087,17.2571003576487,-1.63623857203824,-1.15958783735846,"Europe","Northern Europe",-85
"NPL",151,29.05,152.5,109,452,452,49.5,118,575,260,259,64.6177863777087,4,132,0,3.8,0.3,3.3047,37.7,29136808,203.256421346355,100,1155.14285440358,53.24640274,63.28133774,5.82814699537437,65.3621391883421,28.8097138162835,-0.23261498771253,-0.14509757466756,"Asia","Southern Asia",31790
"NZL",120.5,72.3,156,159,68,446,56.5,129,206,147,612,40.5949346405229,75,19,261,32,2.57,11.1421,91.5,5084300,19.3091792943679,0,41441.4666667011,4211.04638672,24.43832588,16.368309038572,64.2010039747146,19.4306869867134,-1.27539575810101,-1.7492306197628,"Oceania","Australia and New Zealand",-2763
"OMN",7,58.68,7,70.5,490,574,111,55,473,329,66,66.7890746753247,37.5,396,0,22.9,1.47,4.085,95.23,5106622,16.4995864297254,100,14485.3861157973,624.7444458,13.55556679,2.51101216341279,75.0021051081477,22.4868827284395,1.6093146854768,0.245658779300006,"Asia","Western Asia",11423
"PAK",128,31.15,128,83,494,519,52.5,224,587,379,229,62.1176747967478,63.5,236,0,7.8,0.63,0.4832,25,220892331,286.545676369863,100,1188.85975692162,39.49928665,60.920578,4.34864966345144,60.8317866522669,34.8195636842817,-0.0955639348517835,0.953734249767809,"Asia","Southern Asia",224391
"PAN",116,69.33,130,85,517,517,37,152,595,548,429,73.0474584717608,104,266,428,22.5,2.25,3.2055,64.25,4314768,58.1685428097658,71.6367476557604,12509.8352901414,1192.82080078,33.79375458,8.53879247709088,64.9664280829069,26.4947794400022,-0.263478051235701,1.75033534272249,"Americas","Latin America and the Caribbean",7524
"PER",74,58.24,37,10,578,578,9,112,595,526,340,77.6998181818182,33.5,225,277,19.1,1.59,2.9772,65.25,32971846,25.7592546875,99.9629262855861,6126.87453978867,370.10995483,36.91308594,8.72526306831275,66.5825979940346,24.6921389376527,2.5552492211054,1.66531857973337,"Americas","Latin America and the Caribbean",285041
"PHL",91,29.68,148,100,445,467,22.5,99,583,536,558,71.2526677067086,14,215,0,6,0.99,5.4439,49.8,109581085,367.512107187175,96.3706587650922,3298.82958569657,142.07876587,58.98740768,5.51164864430335,64.4456728195355,30.0426785361611,0.370853908140258,0.811393721308544,"Asia","South-eastern Asia",175325
"PNG",152,2.02,106.5,105,391,532,113,5,587,120,401,53.0200169204738,151,0,0,19.4,0.2664632815481,0.4529,11.20919659,8947027,19.7567173077772,99.9951657438565,2757.21752973696,65.08071899,9.91931438,3.57157866123976,61.282410777036,35.1460105617242,-1.47329293431034,-0.515451850406932,"Oceania","Melanesia",555
"POL",88,53.57,65.5,36.5,204,564,131,38,561,20,0,56.6911367380558,141.5,0,305,25.6,6.54,6.8926,83.18488715,37899070,123.784400823072,99.9661157279646,15742.4537256368,1014.03820801,28.55985451,18.739450673668,66.0428433076874,15.2177060186446,-0.100250071293829,-1.07365143878882,"Europe","Eastern Europe",134957
"PRT",23,89.56,104,136,320,547,29.5,100,599,247,172,64.5096721311475,21.5,505,558,23.2,3.45,6.8987,78.26166044,10297081,112.406676011074,16.0083566266812,22194.566114935,2221.43920898,39.02297974,22.7722689742347,64.1737741069202,13.0539569188451,0.686088656282235,1.00969874126869,"Europe","Southern Europe",20548
"PRY",102.5,40.43,150,103.5,441,461,44,98,601,575,604,62.7500662251658,95,33,27,19,0.83,0.7387,73.95751114,7132530,17.9525044047319,99.0583082497181,5001.07276045191,388.39324951,53.99055481,6.81098369192004,64.2955144438067,28.8935018642733,-0.597675300655961,0.69429189719649,"Americas","Latin America and the Caribbean",19564
"QAT",4,80.54,87,69,262,554,133,52,594,52,603,67.7227986906708,71.5,504,134,33.9,1.25,7.197,99.65284913,2881060,250.74499564839,100,50124.3859361728,1807.15393066,27.2375679,1.68913935286855,84.6716460960628,13.6392145510687,0.289116027416225,0.52974151724739,"Asia","Western Asia",1506
"ROU",11,28.62,162,132.5,332,431,156.5,0,599,239,239,57.6003745928338,145.5,153,418,24.5,6.89,6.0922,78.45526741,19257520,83.6992350486787,98.0174648814994,12915.2430513709,738.5581665,19.86136818,19.23091497831,65.2484905802885,15.5205944414015,-2.03124351049571,-0.429123193081075,"Europe","Eastern Europe",105462
"RUS",15,38.01,72,41,200,561,78.5,44,594,73,473,49.4120624999999,33.5,414,552,25.7,7.12,4.5333,84.99467026,144104080,8.79924430004024,91.6093290043281,10126.7217935297,653.41723633,38.8480835,15.5089282475307,66.128809931132,18.3622618213373,1.49917490964522,0.550144169022727,"Europe","Eastern Europe",1005975
"RWA",168,27.96,97,55.5,508,550,44,65,597,584,603,67.2156951423779,50.5,339,26,4.8,0.107995159094594,0.948,26.5,12952209,525.018605593839,100,797.855520671748,51.39912415,26.26396179,3.11930358182668,57.4064611945228,39.4742352236505,0.51362080113714,1.5912240348234,"Africa","Sub-Saharan Africa",5129
"SAU",2,68.5,93.5,81,520,552,156.5,0,595,90,604,62.7593596059117,91.5,495,480,35,2.24,5.8174,97.86,34813867,16.1948313477757,100,20110.3161924912,1316.26025391,30.82542801,3.4984589906707,71.8053100156544,24.6962309936749,-0.274878234297189,1.25608644431481,"Asia","Western Asia",17809
"SDN",81.5,2.57,165,154,189,344,104,98,436,114,50,44.6760535117056,114,160,0,7.4,0.74,1.1455,28.4,43849269,23.712129323794,100,486.418816281925,46.92884064,70.75496674,3.67412129645974,56.5265115078339,39.7993671957064,-1.88748967538828,-2.10995924007993,"Africa","Northern Africa",36435
"SEN",34.5,7.39,152.5,125,375,452,156.5,0,233,169,518,39.5480882352941,93.5,287,0,7.4,0.174954008828638,0.5404,42.6,16743930,86.9679011063211,100,1471.83096170711,59.09758377,57.03206635,3.10814780785893,54.3002904874107,42.5915617047303,-1.5445188841523,-1.35790050053289,"Africa","Sub-Saharan Africa",16181
"SGP",70.5,85.63,39.5,33.5,566,577,93,35,573,72,651,51.2222222222225,2,314,0,6.6,2.49,6.2432,92.00434653,5685807,8019.47390691114,100,59797.7521801188,2632.71386719,49.79800415,13.351544234508,74.3472774754023,12.3011782900897,1.7800579713195,0.799402514215783,"Asia","South-eastern Asia",1234
"SLB",158,17.3,167,143,114,170,107,3,251,3,0,33.1236103896104,170,77,0,20.5,1.4,2.1642,11.92422906,686878,24.5401214719543,99.9175631944289,2250.6011638607,111.90448761,3.43970704,3.67092551289592,56.2990257452496,40.0300487418545,-2.65028956488576,-4.30509783277838,"Oceania","Melanesia",-58
"SLE",62.5,3.91,80,47,558,558,89.5,6,320,110,329,47.0885862068967,155.5,234,0,7.5,0.0677472273018126,0.7525,18,7976985,110.515170407315,100,509.376593987322,46.15795517,56.01371002,2.92733480815993,56.7290415436513,40.3436236481888,0.0295135786313496,-0.62471573577204,"Africa","Sub-Saharan Africa",7510
"SLV",60,66.19,54.5,24,572,572,44,73,595,310,0,54.8375675675671,108.5,544,0,22.7,1.2,1.8344,54.60137027,6486201,313.040588803089,100,3798.63652082321,300.05328369,35.87895966,8.65094458161591,64.758468164358,26.590587254026,1.3578095702788,0.958136944135313,"Americas","Latin America and the Caribbean",16710
"SMR",37,64,163,132.5,280,412,156.5,0,498,140,613,52.0420621931262,71.5,231,0,25.4475600662676,3.8,8.2067,60.18230126,33938,565.633333333333,66.7835714517913,47731.2085399347,3050.91821289,17.77912521,15.5790577456583,67.9420934012709,18.7589830358685,-1.57015123147847,-0.931992056592618,"Europe","Southern Europe",162
"SOM",136.5,2.22,122.5,151,245,432,156.5,0,354,110,0,37.158907563025,147.5,160,0,6.9,0.87,0.1119,2.004048698,15893219,25.3342987853477,100,438.255165584899,41.0995061146453,1.45424742363017,2.90213652083888,50.9479575632933,46.1499059158678,-2.41960559686358,-2.24711217967075,"Africa","Sub-Saharan Africa",34748
"SRB",21,45.89,139.5,120,316,488,44,31,564,53,532,52.2110749185668,71.5,256,448,23.5,5.61,6.0855,78.36804077,6899126,78.8832151840842,100,7730.69174637698,641.02502441,40.00689697,19.0585016934728,65.5743930296653,15.3671052768619,-0.0652455004519072,0.0162359006218239,"Europe","Southern Europe",52196
"SSD",140.5,0.75,113.5,65,339,542,69,41,306,240,152,55.9930260869565,82,0,0,0.73410604824176,0.128818273516961,0.250678450771218,6.5,11193729,17.7136110778852,100,1119.65143716565,22.63818741,28.72546387,3.3527713071386,55.3194579999062,41.3277706929552,-0.116151604975978,-1.42254050987407,"Africa","Sub-Saharan Africa",8806
"SUR",56,42.23,134,103.5,461,511,109,23,515,566,0,73.4271524288106,118,167,6,26.5,3,2.7569,70.06,586634,3.76047435897436,100,4916.60566637918,619.24713135,27.38944054,7.13496706623573,66.1995936123498,26.6654393214144,-0.984996507514196,-0.104175650082985,"Americas","Latin America and the Caribbean",694
"SVK",27.5,46.35,93.5,54,468,552,116,25,571,211,494,54.4886280991737,141.5,423,397,22.4,5.7,6.0156,89.9209082,5458827,113.536335274542,100,19266.5135736247,1342.0748291,21.18335342,16.6991352180235,67.7473358143263,15.5535289676503,-0.151012323645284,1.03961951254281,"Europe","Eastern Europe",22101
"SVN",24,57.19,27.5,129,323,581,37,84,522,174,357,55.9144357366772,87.5,247,347,22.5,4.43,10.2248,86.60130109,2102419,104.408881428657,99.4910252834569,25489.5002284083,2219.10058594,27.62962532,20.7377516789822,64.125818085965,15.1364302350527,0.982768726088188,0.377625597069621,"Europe","Southern Europe",5276
"SWE",123.5,72.57,168,169.5,0,175,156.5,0,486,0,52,53.2061815336464,33.5,0,445,22.1,2.14,12.5813,94.53943122,10353442,25.4190714689057,3.63648738190616,52274.4087868798,5671.38574219,15.11534023,20.3288061061869,62.0476143560942,17.6235795377188,-2.11943971519728,-3.43306449458291,"Europe","Northern Europe",8984
"SWZ",95.5,20.75,161,117.5,401,440,156.5,0,584,392,229,65.5606365159127,55,109,0,13.5,2.1,4.1415,30.3,1160164,67.4513953488372,100,3424.2822122311,264.05514526,23.14836884,4.01236376926021,58.5447402263818,37.442896004358,-1.54599405179082,-0.519900182584033,"Africa","Sub-Saharan Africa",3633
"SYC",34.5,81.99,136,122.5,257,504,94,54,332,241,596,54.5798154362412,116.5,169,0,14.6,3.6,4.5248,79,98462,214.047826086957,100,10764.4204224611,839.77331543,27.26632881,8.06633654305673,68.1667971570053,23.766866299938,-0.946114721040607,-0.846508174383243,"Africa","Sub-Saharan Africa",1
"SYR",164,4.42,166,155,142,356,132,84,552,160,0,49.7623429541594,157,0,0,25.8,1.4,1.5406,35.78,17500657,95.3039100364864,100,1334.37059333293,69.83010864,53.6898613,4.87442243600212,64.3509232624282,30.7746543015697,-2.91848746958429,-2.06822463427583,"Asia","Western Asia",6901
