"V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists","iso3c"
"Malaysia",0.726259029388751,0.772821532160686,0.83792396118796,0.955192603913281,0.581345414975641,0.429634691640616,"MYS"
"Mali",0.663244275351807,0.803376437710594,0.634968558614264,0.768926026607301,0.751715793028896,0.555478269813655,"MLI"
"Malta",0.849360416086882,0.79465079746285,0.860333962633911,0.918588846287692,0.487818018133469,0.591525750042774,"MLT"
"Mauritius",0.746307053236763,0.639820144264053,0.731665490124127,0.684945871531484,0.307528839028468,0.6128386264686,"MUS"
"Mexico",0.684334528099698,0.642633302928103,0.849678752909808,0.712577826892768,0.516148756871035,0.551010921452508,"MEX"
"Moldova",0.536375668204459,0.644204761525849,0.413384431131677,0.676234263673984,0.370806167331629,0.435054770325979,"MDA"
"Mongolia",0.7319723917491,0.747232830255301,0.799824481316837,0.601949575789602,0.264657807317745,0.599829454346574,"MNG"
"Montenegro",0.578235091050197,0.674360325056788,0.412523614365342,0.57903732076188,0.487756212049916,0.388030810891407,NA
"Morocco",0.501252438719721,0.773374059190336,0.756270137914586,0.296665273749658,0.431489110701347,0.417448087551363,"MAR"
"Myanmar",0.940638567365706,0.816181586007183,0.95522284817801,0.87689213361392,0.724527082831137,0.651319156236532,"MMR"
"Namibia",0.753586462455336,0.590140995000672,0.761266330267009,0.756360312982174,0.88304771156856,0.547883810093914,"NAM"
"Nepal",0.666184278004994,0.849257324730517,0.979122660391945,0.812137228930608,0.580156436312083,0.742974026694463,"NPL"
"Netherlands",0.863097148184163,0.847462822935234,0.677007388879153,0.854706157615095,0.719811330532681,0.635720731373331,"NLD"
"New Zealand",0.947519517549836,0.902237653117477,0.705324331299575,0.811245287422407,0.571128926764871,0.618148512707167,"NZL"
"Nicaragua",0.607438795563076,0.543716993839763,0.889259623570834,0.67967108215376,0.750629123332719,0.527937942783552,"NIC"
"Nigeria",0.631293500708369,0.719986300028473,0.93973973402737,0.795730530240272,0.675410078438478,0.622757799925829,"NGA"
"Norway",0.964474944283213,0.919277367655299,0.802312270156788,0.873007260163755,0.488048343227249,0.768896350024056,"NOR"
"Paraguay",0.644140275203767,0.716510586197143,0.759196740531022,0.669459719445649,0.302255511862871,0.584668176772314,"PRY"
"Peru",0.654004898281597,0.578295064101526,0.706860966929458,0.488462224801911,0.498553388631449,0.483417179036943,"PER"
"Philippines",0.819433627101849,0.750237961427878,0.749646591981016,0.852583001461327,0.337464465789074,0.7504537231717,"PHL"
"Poland",0.601343158554422,0.811198760997597,0.805774591244781,0.712654993232047,0.725427124529299,0.646433931696145,"POL"
"Portugal",0.749416388553133,0.752442893203218,0.833832363948301,0.767604091379189,0.559425545191021,0.60504691558943,"PRT"
"Romania",0.515157135890569,0.650468375117502,0.698620670090895,0.588189440382041,0.487043230152208,0.49377882269619,"ROU"
"Russia",0.695877319941953,0.73466106665401,0.423800805238159,0.535535345545941,0.225898520718944,0.432603236859668,"RUS"
"Serbia",0.704486040229854,0.664403508015646,0.681654420793201,0.6696198477816,0.549545721119406,0.223020365223284,"SRB"
"Slovakia",0.736570333988158,0.843370884254208,0.751325704721015,0.708838583050998,0.735787155830468,0.558496286481056,"SVK"
"Slovenia",0.731278897740903,0.853489045175878,0.757505253059276,0.806579328669453,0.489684524386608,0.573219705445675,"SVN"
"South Africa",0.832050662550752,0.554947172310844,0.858157823424816,0.682925376957674,0.303519386758771,0.440839781041723,"ZAF"
"South Korea",0.761921980488226,0.763208519426487,0.543887579741099,0.689410290368909,0.422131017570028,0.302245558343411,"KOR"
"Spain",0.616825838714286,0.833666213277567,0.834734905517275,0.867302021571199,0.627098997155072,0.58981815527691,"ESP"
"Sri Lanka",0.899287391607552,0.832899646235192,0.93471543768219,0.872580669112955,0.323160468438788,0.722873708563986,"LKA"
"Sweden",0.857641701910404,0.919832520798691,0.63927847139829,0.808805164930348,0.656338954392336,0.676957757534188,"SWE"
"Switzerland",0.856857952218066,0.882990653780102,0.58075693382411,0.897311129325568,0.81469820646059,0.669203756683498,"CHE"
"Taiwan",0.791928517625079,0.804332809855757,0.576842990638693,0.833347824359901,0.34929928731135,0.234989043978086,"TWN"
"Tanzania",0.911613913545523,0.857937174301007,0.974489260417112,0.75039980439692,0.876174395493953,0.85644589657213,"TZA"
"Thailand",0.731549558393477,0.787648342150903,0.952251469633575,0.875115776623807,0.816009062483173,0.787936143923305,"THA"
