"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death","V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists"
"CHE",108,65.87,97,124,256,550,16,60,594,0,539,50.9408617886176,60.5,326,441,21.2,4.63,17.8949,94.2,8636561,218.558417938239,49.3001362303515,87100.4148213751,9666.33789063,67.89052582,19.0975411751085,65.94382747161,14.9586313532815,0.280577235172553,0.383686491998741,"Europe","Western Europe",8050,"Switzerland",0.856857952218066,0.882990653780102,0.58075693382411,0.897311129325568,0.81469820646059,0.669203756683498
"CHL",39,85.89,54.5,145.5,196,572,9,540,595,555,581,73.5882982171795,149.5,293,460,28.8,2.06,13.3248,88.3,19116209,25.710001721513,97.6630177077565,13231.7042069381,1375.80297852,49.08281326,12.2426574192226,68.5186141325884,19.2387284481891,0.203650421680977,2.90324584156459,"Americas","Latin America and the Caribbean",36662,"Chile",0.605899936750192,0.657563548507491,0.780054929314703,0.639541275937038,0.43262791468338,0.460310046795664
"CIV",43,8.55,59,28.5,571,571,156.5,0,134,0,284,34.0619166666667,121.5,68,0,9,0.274917337516357,0.6556,36.28895457,26378275,82.9505503144654,100,2325.72370502247,75.08779144,55.6829567,2.88256919311703,55.6089568256058,41.5084739812772,0.197853178145739,-1.62679426909437,"Africa","Sub-Saharan Africa",24428,"Ivory Coast",0.598783426342919,0.374784245032166,0.777978299815798,0.57734288600031,0.337755819982447,0.348482926176515
"CMR",161,1.53,62,32,567,567,156.5,0,163,0,0,41.3269917355372,158.5,70,0,9.5,1.3,0.5267,37.8,26545864,56.1567641894608,100,1537.13021832773,53.99584961,82.43981934,2.7161558092875,55.2199112908855,42.063932899827,-0.745797036245852,-1.89801945438659,"Africa","Sub-Saharan Africa",33905,"Cameroon",0.531335090356144,0.442574479571174,0.823226481759996,0.669175727979518,0.512450923093182,0.485835768593076
"COL",123.5,58.85,43.5,20,357,576,56.5,231,616,458,515,69.4843966942155,33.5,14,189,22.1,1.71,1.18357320910727,69.79,50882884,45.8610941865705,92.1046289822956,5334.55604233917,495.32971191,28.11552811,9.06056222316456,68.7558672717712,22.1835705050643,1.7000648094663,1.35574627515851,"Americas","Latin America and the Caribbean",161164,"Colombia",0.709472579189566,0.576225762996437,0.843110796033886,0.532743289458978,0.304016299481521,0.484866452636632
"CRI",8,70,138,138,364,497,99.5,39,601,0,169,61.3441983471073,10,166,168,25.7,1.1,3.4144,80.53018608,5094114,99.7672150411281,99.6887933668832,12140.8541545754,921.58575439,27.46307182,10.2530997515173,68.9188785968444,20.8280216516382,-0.187150608732849,-0.63064902977456,"Americas","Latin America and the Caribbean",9484,"Costa Rica",0.759619922946277,0.680910434661097,0.884195938500436,0.746916033052144,0.596242833055668,0.659590899252266
"CYP",18,67.56,135,107,389,506,101.5,215,526,288,564,65.4967827529025,145.5,569,570,22.6,3.4,4.0345,90.80194723,1207361,130.666774891775,100,27527.8453055825,1996.45825195,43.29400635,14.4088046720155,69.0140215130711,16.5771738149134,-0.999547036830795,1.76742769961985,"Asia","Western Asia",1039,"Cyprus",0.758716179630352,0.739269190639822,0.7016071732473,0.497239066644795,0.473697779685663,0.463793165663198
"CZE",58,58.27,20,2,335,593,3.5,37,598,168,610,54.2857704918031,100,320,419,28.5,6.62,8.4246,81.33889705,10697858,138.57329015544,99.6772126159304,22933.4995909236,1844.21777344,18.5015831,20.1429902620987,64.1014583927266,15.7555513451747,2.41353283750762,1.00654967514753,"Europe","Eastern Europe",33585,"Czech Republic",0.725912903638009,0.78817537053698,0.682660749111151,0.799532357364471,0.465096854726612,0.447557376039199
"DEU",36,69.91,32,169.5,0,579,119,75,589,229,423,61.7874378881988,24,422,451,25.7,8,13.4858,89.81294133,83160871,238.024131318335,89.1743564300489,46252.6893044892,5440.25146484,22.27397156,21.6874493682811,64.3569551788337,13.9555954528852,0.212889073321373,0.42793354691797,"Europe","Western Europe",173352,"Germany",0.865263436567479,0.855360080394905,0.667846939396915,0.660331461841588,0.41245057699317,0.662263265113441
"DNK",9,76.56,143,157,59,480,122,47,600,0,93,50.3746551724138,108.5,538,558,21.3,2.6,10.5515,96.54914573,5831404,145.7851,56.9144561104444,61063.3164304238,6003.32519531,16.71035385,20.1639894465007,63.554275213468,16.2817353400313,-1.44736463907721,-0.449034453202656,"Europe","Northern Europe",2955,"Denmark",0.88260433930568,0.914751080426577,0.692488577888549,0.903066145454559,0.700463275703086,0.696179141739836
